Turn,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source
0,2876.0,7917.0,5.5055632823365785,0.0019149785329866359,0.0017140617469556256,0.8565156812226347,-0.11724473967873476,0.0,3.0,-0.11724473967873476,10.051382722877555,8.55260919389533,0.0009559473538622836,293.0,274.0,4.4573378839590445,0.1386861313868613,0.309255079006772,2773.0,7917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2876.0,7917.0,5.5055632823365785,0.0019149785329866359,0.0017140617469556256,0.8565156812226347,-0.11724473967873476,0.0,3.0,-0.11724473967873476,10.051382722877555,8.55260919389533,0.0009559473538622836,293.0,274.0,4.4573378839590445,0.1386861313868613,0.309255079006772,2773.0,7917.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2923.0,7992.0,5.468354430379747,0.0018714423101915628,0.0016854647751902401,0.8617992128622296,-0.113999874279342,0.0,3.0,-0.113999874279342,10.0788760454154,8.59963932329157,0.0009342306098283354,293.0,274.0,4.566552901023891,0.1386861313868613,0.309255079006772,2812.0,7992.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0005005005005005005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2923.0,7992.0,5.468354430379747,0.0018714423101915628,0.0016854647751902401,0.8617992128622296,-0.113999874279342,0.0,3.0,-0.113999874279342,10.0788760454154,8.59963932329157,0.0009342306098283354,293.0,274.0,4.566552901023891,0.1386861313868613,0.309255079006772,2812.0,7992.0,4.0,4.0,0.0,0.0,0.0,1.0,,0.0,0.0005005005005005005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2923.0,7992.0,5.468354430379747,0.0018714423101915628,0.0016854647751902401,0.8617992128622296,-0.113999874279342,0.0,3.0,-0.113999874279342,10.0788760454154,8.59963932329157,0.0009342306098283354,293.0,274.0,4.566552901023891,0.1386861313868613,0.309255079006772,2812.0,7992.0,4.0,4.0,0.0,0.0,0.0,1.0,,0.0,0.0005005005005005005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2923.0,7992.0,5.468354430379747,0.0018714423101915628,0.0016854647751902401,0.8617992128622296,-0.113999874279342,0.0,3.0,-0.113999874279342,10.0788760454154,8.59963932329157,0.0009342306098283354,293.0,274.0,4.566552901023891,0.1386861313868613,0.309255079006772,2812.0,7992.0,4.0,4.0,0.0,0.0,0.0,1.0,,0.0,0.0005005005005005005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2940.0,8017.0,5.4537414965986395,0.0018556452863554406,0.0016763103892890546,0.8657162468921645,-0.1121296625486292,0.0,3.0,-0.1121296625486292,10.08799613187658,8.612079259336692,0.0009263501318894905,293.0,274.0,4.604095563139932,0.1386861313868613,0.309255079006772,2825.0,8017.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.000873144567793439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2940.0,8017.0,5.4537414965986395,0.0018556452863554406,0.0016763103892890546,0.8657162468921645,-0.1121296625486292,0.0,3.0,-0.1121296625486292,10.08799613187658,8.612079259336692,0.0009263501318894905,293.0,274.0,4.604095563139932,0.1386861313868613,0.309255079006772,2825.0,8017.0,7.0,7.0,0.0,0.0,0.0,1.0,,0.0,0.000873144567793439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2940.0,8017.0,5.4537414965986395,0.0018556452863554406,0.0016763103892890546,0.8657162468921645,-0.1121296625486292,0.0,3.0,-0.1121296625486292,10.08799613187658,8.612079259336692,0.0009263501318894905,293.0,274.0,4.604095563139932,0.1386861313868613,0.309255079006772,2825.0,8017.0,7.0,7.0,0.0,0.0,0.0,1.0,,0.0,0.000873144567793439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2940.0,8017.0,5.4537414965986395,0.0018556452863554406,0.0016763103892890546,0.8657162468921645,-0.1121296625486292,0.0,3.0,-0.1121296625486292,10.08799613187658,8.612079259336692,0.0009263501318894905,293.0,274.0,4.604095563139932,0.1386861313868613,0.309255079006772,2825.0,8017.0,7.0,7.0,0.0,0.0,0.0,1.0,,0.0,0.000873144567793439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
