Turn,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent,Total nodes,Total edges,Average degree,Average degree centrality,Average closeness,Average degree connectivity,Average assortativity,Average node connectivity,Number of components,Number of strong components,Centrality entropy,Closeness entropy,Sparseness,Total explicit triples,Total classes,Total properties,Total instances,Total object properties,Total data properties,Total subclass properties,Total entities,Property class ratio,Average population,Class property ratio,Attribute richness,Inheritance richness,Relationship richness,Object properties ratio,Datatype properties ratio,Total concept assertions,Total role assertions,Total general concept inclusions,Total axioms,Total aBox axioms,Total tBox axioms,Total world instances,Total semantic statements,Total perspectives,Total mentions,Total interactions,Total utterances,Total sources
0.0,,,,,,,,,,2870.0,7906.0,5.509407665505226,0.0019203233410614244,0.0017210902516714033,0.8596768057594533,-0.1174652616600799,0.0,3.0,-0.1174652616600799,10.048989987248374,2.727609284582613,0.000958613070451262,7906.0,294.0,267.0,1306.0,229.0,38.0,612.0,1600.0,0.9081632653061225,4.442176870748299,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1306.0,456.0,644.0,2769.0,1762.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,,,,,,,,,2870.0,7906.0,5.509407665505226,0.0019203233410614244,0.0017210902516714033,0.8596768057594533,-0.1174652616600799,0.0,3.0,-0.1174652616600799,10.048989987248374,2.727609284582613,0.000958613070451262,7906.0,294.0,267.0,1306.0,229.0,38.0,612.0,1600.0,0.9081632653061225,4.442176870748299,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1306.0,456.0,644.0,2769.0,1762.0,1007.0,0.0,0.0,0.0,0.0,,0.0,0.0
2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2870.0,7906.0,5.509407665505226,0.0019203233410614244,0.0017210902516714033,0.8596768057594533,-0.1174652616600799,0.0,3.0,-0.1174652616600799,10.048989987248374,2.727609284582613,0.000958613070451262,7906.0,294.0,267.0,1306.0,229.0,38.0,612.0,1600.0,0.9081632653061225,4.442176870748299,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1306.0,456.0,644.0,2769.0,1762.0,1007.0,0.0,0.0,0.0,0.0,,0.0,0.0
3.0,,,,,,,,,,2929.0,8021.0,5.476954592010925,0.0018705446010966274,0.001696287980577814,0.8700331834873312,-0.11521514267001974,0.0,3.0,-0.11521514267001974,10.087153396139907,2.735172100466897,0.0009337873545539647,8021.0,294.0,267.0,1352.0,229.0,38.0,612.0,1646.0,0.9081632653061225,4.598639455782313,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1352.0,481.0,644.0,2840.0,1833.0,1007.0,5.0,3.0,1.0,1.0,0.0,1.0,2.0
4.0,4.666666666666667,4.666666666666667,5.0,4.0,4.333333333333333,5.0,5.0,5.0,5.0,2929.0,8021.0,5.476954592010925,0.0018705446010966274,0.001696287980577814,0.8700331834873312,-0.11521514267001974,0.0,3.0,-0.11521514267001974,10.087153396139907,2.735172100466897,0.0009337873545539647,8021.0,294.0,267.0,1352.0,229.0,38.0,612.0,1646.0,0.9081632653061225,4.598639455782313,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1352.0,481.0,644.0,2840.0,1833.0,1007.0,5.0,3.0,1.0,1.0,,1.0,2.0
5.0,,,,,,,,,,2952.0,8072.0,5.468834688346884,0.0018532140590806114,0.0016931925814939544,0.8746769112647156,-0.11509386628396555,0.0,3.0,-0.11509386628396555,10.1027687001528,2.7373730533695713,0.0009251455996944793,8072.0,294.0,267.0,1367.0,229.0,38.0,612.0,1661.0,0.9081632653061225,4.649659863945578,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1367.0,500.0,644.0,2874.0,1867.0,1007.0,7.0,4.0,2.0,2.0,0.0,2.0,2.0
6.0,3.3333333333333335,3.3333333333333335,2.6666666666666665,3.3333333333333335,4.666666666666667,5.0,4.333333333333333,4.0,3.6666666666666665,2952.0,8072.0,5.468834688346884,0.0018532140590806114,0.0016931925814939544,0.8746769112647156,-0.11509386628396555,0.0,3.0,-0.11509386628396555,10.1027687001528,2.7373730533695713,0.0009251455996944793,8072.0,294.0,267.0,1367.0,229.0,38.0,612.0,1661.0,0.9081632653061225,4.649659863945578,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1367.0,500.0,644.0,2874.0,1867.0,1007.0,7.0,4.0,2.0,2.0,,2.0,2.0
7.0,,,,,,,,,,2952.0,8072.0,5.468834688346884,0.0018532140590806114,0.0016931925814939544,0.8746769112647156,-0.11509386628396555,0.0,3.0,-0.11509386628396555,10.1027687001528,2.7373730533695713,0.0009251455996944793,8072.0,294.0,267.0,1367.0,229.0,38.0,612.0,1661.0,0.9081632653061225,4.649659863945578,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1367.0,500.0,644.0,2874.0,1867.0,1007.0,7.0,4.0,2.0,2.0,,2.0,2.0
8.0,2.6666666666666665,1.6666666666666667,2.0,2.3333333333333335,4.0,3.0,4.0,3.6666666666666665,3.6666666666666665,2952.0,8072.0,5.468834688346884,0.0018532140590806114,0.0016931925814939544,0.8746769112647156,-0.11509386628396555,0.0,3.0,-0.11509386628396555,10.1027687001528,2.7373730533695713,0.0009251455996944793,8072.0,294.0,267.0,1367.0,229.0,38.0,612.0,1661.0,0.9081632653061225,4.649659863945578,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1367.0,500.0,644.0,2874.0,1867.0,1007.0,7.0,4.0,2.0,2.0,,2.0,2.0
9.0,,,,,,,,,,2966.0,8110.0,5.468644639244774,0.001844399541060632,0.0016983231791995602,0.8799661413981029,-0.11625249811621245,0.0,3.0,-0.11625249811621245,10.112826328237437,2.7387379906836595,0.0009207521157974237,8110.0,294.0,267.0,1377.0,229.0,38.0,612.0,1671.0,0.9081632653061225,4.683673469387755,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1377.0,519.0,644.0,2903.0,1896.0,1007.0,8.0,5.0,3.0,3.0,0.0,3.0,2.0
