Turn,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent,Total nodes,Total edges,Average degree,Average degree centrality,Average closeness,Average degree connectivity,Average assortativity,Average node connectivity,Number of components,Number of strong components,Centrality entropy,Closeness entropy,Sparseness,Total explicit triples,Total classes,Total properties,Total instances,Total object properties,Total data properties,Total subclass properties,Total entities,Property class ratio,Average population,Class property ratio,Attribute richness,Inheritance richness,Relationship richness,Object properties ratio,Datatype properties ratio,Total concept assertions,Total role assertions,Total general concept inclusions,Total axioms,Total aBox axioms,Total tBox axioms,Total world instances,Total semantic statements,Total perspectives,Total mentions,Total interactions,Total utterances,Total sources
0.0,0.483124152,0.748116556,0.004797328,0.78202415,,,,,,,,,,2870.0,7906.0,5.509407665505226,0.0019203233410614244,0.0017210902516714033,0.8596768057594533,-0.11746526166007995,0.0,3.0,-0.11746526166007995,10.048989987248374,2.727609284582613,0.000958613070451262,7906.0,294.0,267.0,1306.0,229.0,38.0,612.0,1600.0,0.9081632653061225,4.442176870748299,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1306.0,456.0,644.0,2769.0,1762.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.13179177,0.9968624,0.74725795,,,,,,,,,,2870.0,7906.0,5.509407665505226,0.0019203233410614244,0.0017210902516714033,0.8596768057594533,-0.11746526166007995,0.0,3.0,-0.11746526166007995,10.048989987248374,2.727609284582613,0.000958613070451262,7906.0,294.0,267.0,1306.0,229.0,38.0,612.0,1600.0,0.9081632653061225,4.442176870748299,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1306.0,456.0,644.0,2769.0,1762.0,1007.0,0.0,0.0,0.0,0.0,,0.0,0.0
2.0,0.251462165,0.63818056,0.9976205,0.99783623,,,,,,,,,,2870.0,7906.0,5.509407665505226,0.0019203233410614244,0.0017210902516714033,0.8596768057594533,-0.11746526166007995,0.0,3.0,-0.11746526166007995,10.048989987248374,2.727609284582613,0.000958613070451262,7906.0,294.0,267.0,1306.0,229.0,38.0,612.0,1600.0,0.9081632653061225,4.442176870748299,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1306.0,456.0,644.0,2769.0,1762.0,1007.0,0.0,0.0,0.0,0.0,,0.0,0.0
3.0,0.0,0.126483083,0.9857193,0.7312109,,,,,,,,,,2929.0,8021.0,5.476954592010925,0.0018705446010966274,0.0016962879805778137,0.8700331834873309,-0.11521514267001977,0.0,3.0,-0.11521514267001977,10.08715339613991,2.735172100466897,0.0009337873545539647,8021.0,294.0,267.0,1352.0,229.0,38.0,612.0,1646.0,0.9081632653061225,4.598639455782313,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1352.0,481.0,644.0,2840.0,1833.0,1007.0,5.0,3.0,1.0,1.0,0.0,1.0,2.0
4.0,0.365746311,0.567305455,0.9907801,0.9940913,3.0,1.0,5.0,1.0,3.0,3.0,4.0,5.0,5.0,2929.0,8021.0,5.476954592010925,0.0018705446010966274,0.0016962879805778137,0.8700331834873309,-0.11521514267001977,0.0,3.0,-0.11521514267001977,10.08715339613991,2.735172100466897,0.0009337873545539647,8021.0,294.0,267.0,1352.0,229.0,38.0,612.0,1646.0,0.9081632653061225,4.598639455782313,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1352.0,481.0,644.0,2840.0,1833.0,1007.0,5.0,3.0,1.0,1.0,,1.0,2.0
5.0,0.077531343,0.476726944,0.10809989,0.73443985,0.0,,,,,,,,,2948.0,8070.0,5.474898236092266,0.0018577869820469177,0.0016972089230273902,0.8748800006965536,-0.11552919467878783,0.0,3.0,-0.11552919467878783,10.10137559596253,2.736829076661362,0.0009274277434831517,8070.0,294.0,267.0,1367.0,229.0,38.0,612.0,1661.0,0.9081632653061225,4.649659863945578,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1367.0,501.0,644.0,2875.0,1868.0,1007.0,6.0,4.0,2.0,2.0,0.0,2.0,2.0
6.0,0.352173857,0.581127055,0.9970981,0.99654484,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2948.0,8070.0,5.474898236092266,0.0018577869820469177,0.0016972089230273902,0.8748800006965536,-0.11552919467878783,0.0,3.0,-0.11552919467878783,10.10137559596253,2.736829076661362,0.0009274277434831517,8070.0,294.0,267.0,1367.0,229.0,38.0,612.0,1661.0,0.9081632653061225,4.649659863945578,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1367.0,501.0,644.0,2875.0,1868.0,1007.0,6.0,4.0,2.0,2.0,,2.0,2.0
7.0,0.339384597,0.51872168,0.99692094,0.9962077,0.0,,,,,,,,,2966.0,8115.0,5.472016183412003,0.0018455366554509286,0.001698815549504295,0.8801571955675794,-0.11607618575545303,0.0,3.0,-0.11607618575545303,10.113782914592512,2.738445152052387,0.0009213204813010023,8115.0,294.0,267.0,1381.0,229.0,38.0,612.0,1675.0,0.9081632653061225,4.697278911564626,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1381.0,520.0,644.0,2908.0,1901.0,1007.0,8.0,5.0,3.0,3.0,0.0,3.0,2.0
8.0,0.332910785,0.660395053,0.9969802,0.9948791,3.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,2966.0,8115.0,5.472016183412003,0.0018455366554509286,0.001698815549504295,0.8801571955675794,-0.11607618575545303,0.0,3.0,-0.11607618575545303,10.113782914592512,2.738445152052387,0.0009213204813010023,8115.0,294.0,267.0,1381.0,229.0,38.0,612.0,1675.0,0.9081632653061225,4.697278911564626,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1381.0,520.0,644.0,2908.0,1901.0,1007.0,8.0,5.0,3.0,3.0,,3.0,2.0
9.0,0.0,0.055181164,0.9984546,0.994395,0.0,,,,,,,,,2966.0,8115.0,5.472016183412003,0.0018455366554509286,0.001698815549504295,0.8801571955675794,-0.11607618575545303,0.0,3.0,-0.11607618575545303,10.113782914592512,2.738445152052387,0.0009213204813010023,8115.0,294.0,267.0,1381.0,229.0,38.0,612.0,1675.0,0.9081632653061225,4.697278911564626,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1381.0,520.0,644.0,2908.0,1901.0,1007.0,8.0,5.0,3.0,3.0,,3.0,2.0
