Turn,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent,Total nodes,Total edges,Average degree,Average degree centrality,Average closeness,Average degree connectivity,Average assortativity,Average node connectivity,Number of components,Number of strong components,Centrality entropy,Closeness entropy,Sparseness,Total explicit triples,Total classes,Total properties,Total instances,Total entities,Property class ratio,Average population,Class property ratio,Attribute richness,Inheritance richness,Relationship richness,Total concept assertions,Total role assertions,Total general concept inclusions,Total axioms,Total aBox axioms,Total tBox axioms,Total world instances,Total semantic statements,Total perspectives,Total mentions,Total interactions,Total utterances,Total sources
0.0,0.435787005174997,0.6895941348441885,0.61632204,0.8141291,,,,,,,,,,2870.0,7906.0,5.509407665505226,0.0019203233410614244,0.0017210902516714033,0.8596768057594533,-0.11746526166007998,0.0,3.0,-0.11746526166007998,10.048989987248374,2.727609284582613,0.000958613070451262,7906.0,294.0,267.0,1306.0,1600.0,0.9081632653061225,4.442176870748299,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1306.0,456.0,644.0,2769.0,1762.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0607586540140885,0.99700767,0.82404935,,,,,,,,,,2870.0,7906.0,5.509407665505226,0.0019203233410614244,0.0017210902516714033,0.8596768057594533,-0.11746526166007998,0.0,3.0,-0.11746526166007998,10.048989987248374,2.727609284582613,0.000958613070451262,7906.0,294.0,267.0,1306.0,1600.0,0.9081632653061225,4.442176870748299,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1306.0,456.0,644.0,2769.0,1762.0,1007.0,0.0,0.0,0.0,0.0,,0.0,0.0
2.0,0.4789759518358,0.697578090214653,0.9979362,0.997478,,,,,,,,,,2870.0,7906.0,5.509407665505226,0.0019203233410614244,0.0017210902516714033,0.8596768057594533,-0.11746526166007998,0.0,3.0,-0.11746526166007998,10.048989987248374,2.727609284582613,0.000958613070451262,7906.0,294.0,267.0,1306.0,1600.0,0.9081632653061225,4.442176870748299,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1306.0,456.0,644.0,2769.0,1762.0,1007.0,0.0,0.0,0.0,0.0,,0.0,0.0
3.0,0.0,0.12473588418421,0.9971304,0.73313475,,,,,,,,,,2929.0,8021.0,5.476954592010925,0.0018705446010966274,0.0016962879805778137,0.8700331834873309,-0.11521514267001974,0.0,3.0,-0.11521514267001974,10.08715339613991,2.735172100466897,0.0009337873545539647,8021.0,294.0,267.0,1352.0,1646.0,0.9081632653061225,4.598639455782313,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1352.0,481.0,644.0,2840.0,1833.0,1007.0,5.0,3.0,1.0,1.0,0.0,1.0,2.0
4.0,0.562297474796462,0.7624528381607635,0.996822,0.7543927,3.5,2.5,3.5,1.0,2.5,3.5,4.0,4.0,4.0,2929.0,8021.0,5.476954592010925,0.0018705446010966274,0.0016962879805778137,0.8700331834873309,-0.11521514267001974,0.0,3.0,-0.11521514267001974,10.08715339613991,2.735172100466897,0.0009337873545539647,8021.0,294.0,267.0,1352.0,1646.0,0.9081632653061225,4.598639455782313,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1352.0,481.0,644.0,2840.0,1833.0,1007.0,5.0,3.0,1.0,1.0,,1.0,2.0
5.0,0.5826605110680275,0.6114559287671345,0.9968676,0.74196017,0.0,,,,,,,,,2950.0,8070.0,5.4711864406779664,0.0018552683759504804,0.0016955165132370915,0.8741173701876069,-0.115528163029744,0.0,3.0,-0.115528163029744,10.101670198657832,2.737191677309172,0.0009261706406205113,8070.0,294.0,267.0,1366.0,1660.0,0.9081632653061225,4.64625850340136,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1366.0,500.0,644.0,2873.0,1866.0,1007.0,6.0,4.0,2.0,2.0,0.0,2.0,2.0
6.0,0.374213525914202,0.649854960174945,0.9976069,0.9969748,2.5,1.5,2.0,3.0,3.5,3.0,2.0,3.0,1.5,2950.0,8070.0,5.4711864406779664,0.0018552683759504804,0.0016955165132370915,0.8741173701876069,-0.115528163029744,0.0,3.0,-0.115528163029744,10.101670198657832,2.737191677309172,0.0009261706406205113,8070.0,294.0,267.0,1366.0,1660.0,0.9081632653061225,4.64625850340136,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1366.0,500.0,644.0,2873.0,1866.0,1007.0,6.0,4.0,2.0,2.0,,2.0,2.0
7.0,0.275875409799697,0.491140287184745,0.99527955,0.9969665,0.0,,,,,,,,,2964.0,8109.0,5.47165991902834,0.0018466621393953225,0.0017037017796174417,0.8791597757715162,-0.11691620313973726,0.0,3.0,-0.11691620313973726,10.11171358003021,2.7385176263780244,0.0009218812889173,8109.0,294.0,267.0,1377.0,1671.0,0.9081632653061225,4.683673469387755,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1377.0,520.0,644.0,2904.0,1897.0,1007.0,7.0,5.0,3.0,3.0,0.0,3.0,2.0
8.0,0.49228780807634154,0.658457128220316,0.9964381,0.9970483,2.5,1.5,2.0,3.0,3.5,2.5,1.5,3.0,1.5,2964.0,8109.0,5.47165991902834,0.0018466621393953225,0.0017037017796174417,0.8791597757715162,-0.11691620313973726,0.0,3.0,-0.11691620313973726,10.11171358003021,2.7385176263780244,0.0009218812889173,8109.0,294.0,267.0,1377.0,1671.0,0.9081632653061225,4.683673469387755,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1377.0,520.0,644.0,2904.0,1897.0,1007.0,7.0,5.0,3.0,3.0,,3.0,2.0
9.0,0.2764655749501545,0.3990966329985975,0.99702334,0.9970185,0.0,,,,,,,,,2978.0,8148.0,5.472128945601074,0.0018381353529059706,0.0017145901309477097,0.8842011430349906,-0.11852454747711395,0.0,3.0,-0.11852454747711395,10.121404549846996,2.7398132951607668,0.0009176314689184758,8148.0,294.0,267.0,1388.0,1682.0,0.9081632653061225,4.72108843537415,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1388.0,540.0,644.0,2935.0,1928.0,1007.0,8.0,6.0,4.0,4.0,0.0,4.0,2.0
